deviceModel,MODULAIR-PM
deviceID,e00fce68744e5a13149ee7fe
deviceSN,MOD-PM-00106
timestamp_iso,sample_rh,sample_temp,sample_pres,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin1MToF,bin3MToF,bin5MToF,bin7MToF,sample_period,sample_flow,opc_temp,opc_rh,opc_pm1,opc_pm25,opc_pm10,laser_status,pm1_std,pm25_std,pm10_std,pm1_env,pm25_env,pm10_env,neph_bin0,neph_bin1,neph_bin2,neph_bin3,neph_bin4,neph_bin5,flag,fw,connection_status,iteration
2024-08-19T00:02:08Z,75.53,25.22,0.0,32.5861,1.9749,0.1763,0.0705,0.0353,0.0353,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0000,11.6667,12.3333,0.0000,5.001,5.67,30.73,56.98,4.459,5.168,5.330,620,24.0,40.0,41.0,22.0,36.0,41.0,4014.000,1161.000,245.000,28.000,1.000,0.000,0,21,0,1
2024-08-19T00:02:13Z,75.55,25.21,0.0,31.1976,1.5888,0.2528,0.0000,0.1083,0.1083,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.3333,0.0000,13.3333,0.0000,4.999,5.54,30.72,56.98,4.284,5.838,6.317,620,22.0,36.0,37.0,21.0,33.0,37.0,3918.000,1130.000,223.000,23.000,1.000,0.000,0,21,0,2
2024-08-19T00:02:18Z,75.53,25.21,0.0,31.0848,1.6457,0.1097,0.0366,0.0731,0.2194,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.3333,11.6667,11.6667,0.0000,4.999,5.47,30.73,57.00,4.260,6.652,7.538,619,19.0,34.0,36.0,19.0,32.0,36.0,3459.000,988.000,225.000,25.000,1.000,0.000,0,21,0,3
2024-08-19T00:02:23Z,75.53,25.19,0.0,32.6704,1.8785,0.1105,0.0368,0.1105,0.0368,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.3333,10.0000,11.6667,0.0000,5.000,5.43,30.72,56.98,4.434,5.394,5.602,619,17.0,33.0,34.0,17.0,31.0,34.0,3423.000,978.000,237.000,28.000,1.000,0.000,0,21,0,4
2024-08-19T00:02:28Z,75.52,25.21,0.0,31.2186,1.3620,0.1434,0.0717,0.0717,0.0717,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0000,9.0000,12.0000,0.0000,5.000,5.58,30.73,56.96,4.166,5.320,5.642,620,19.0,35.0,35.0,19.0,33.0,35.0,3480.000,1005.000,239.000,26.000,1.000,0.000,0,21,0,5
2024-08-19T00:02:33Z,75.53,25.21,0.0,32.4764,1.9282,0.1134,0.1134,0.1512,0.0000,0.0378,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.6667,11.3333,0.0000,0.0000,5.000,5.29,30.73,56.99,4.523,5.945,6.674,620,20.0,35.0,36.0,20.0,33.0,36.0,3543.000,1019.000,218.000,34.000,2.000,0.000,0,21,0,6
2024-08-19T00:02:38Z,75.52,25.18,0.0,30.9903,1.6699,0.2330,0.0777,0.2330,0.0388,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.6667,11.6667,10.6667,0.0000,5.000,5.15,30.72,57.01,4.415,5.996,6.286,620,21.0,37.0,39.0,20.0,34.0,39.0,3630.000,1055.000,267.000,32.000,2.000,0.000,0,21,0,7
2024-08-19T00:02:43Z,75.54,25.17,0.0,30.3142,1.4787,0.3327,0.0370,0.0000,0.1109,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0000,9.6667,12.3333,0.0000,5.000,5.41,30.73,57.00,4.147,5.353,5.782,620,21.0,39.0,39.0,20.0,35.0,39.0,3699.000,1066.000,304.000,28.000,0.000,0.000,0,21,0,8
2024-08-19T00:02:48Z,75.53,25.21,0.0,32.5185,1.2593,0.3704,0.1481,0.0370,0.0370,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.3333,8.0000,11.0000,0.0000,5.000,5.40,30.70,56.96,4.454,5.351,5.526,620,20.0,37.0,38.0,20.0,34.0,38.0,3594.000,1031.000,256.000,33.000,1.000,1.000,0,21,0,9
2024-08-19T00:02:53Z,75.54,25.19,0.0,32.9194,1.8928,0.4454,0.0742,0.1485,0.0000,0.0000,0.0371,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.3333,10.0000,0.0000,11.6667,4.999,5.39,30.73,56.99,4.732,6.201,8.278,620,20.0,34.0,35.0,20.0,32.0,35.0,3396.000,973.000,229.000,28.000,1.000,1.000,0,21,0,10
